title,runtime,genre(s),director(s),writer(s),actor(s),rating(s),number of rating(s)
Ikiru,2h 23min,Drama,Akira Kurosawa,Akira Kurosawa; Shinobu Hashimoto,Takashi Shimura; Nobuo Kaneko; Shin'ichi Himori,8.3,"49,218"
The Great Escape,2h 52min,Adventure; Drama; History,John Sturges,Paul Brickhill; James Clavell,Steve McQueen; James Garner; Richard Attenborough,8.2,"186,310"
The Third Man,1h 44min,Film-Noir; Mystery; Thriller,Carol Reed,Graham Greene; Graham Greene,Orson Welles; Joseph Cotten; Alida Valli,8.2,"128,690"
Bacheha-Ye aseman,1h 29min,Drama; Family,Majid Majidi,Majid Majidi,Mohammad Amir Naji; Amir Farrokh Hashemian; Bahare Seddiqi,8.4,"40,079"
Chinatown,2h 10min,Drama; Mystery; Thriller,Roman Polanski,Robert Towne,Jack Nicholson; Faye Dunaway; John Huston,8.2,"243,062"
Pan's Labyrinth,1h 58min,Drama; Fantasy; War,Guillermo del Toro,Guillermo del Toro,Ivana Baquero; Ariadna Gil; Sergi López,8.2,"525,709"
Incendies,2h 11min,Drama; Mystery; War,Denis Villeneuve,Denis Villeneuve; Wajdi Mouawad,Lubna Azabal; Mélissa Désormeaux-Poulin; Maxim Gaudette,8.2,"103,718"
Tonari no Totoro,1h 26min,Animation; Family; Fantasy,Hayao Miyazaki,Hayao Miyazaki,Hitoshi Takagi; Noriko Hidaka; Chika Sakamoto,8.2,"207,655"
Ran,2h 42min,Action; Drama,Akira Kurosawa,Akira Kurosawa; Hideo Oguni,Tatsuya Nakadai; Akira Terao; Jinpachi Nezu,8.2,"87,849"
Oordeel te Neurenberg,3h 6min,Drama; War,Stanley Kramer,Abby Mann; Abby Mann,Spencer Tracy; Burt Lancaster; Richard Widmark,8.3,"52,521"
El secreto de sus ojos,2h 9min,Drama; Mystery; Romance,Juan José Campanella,Eduardo Sacheri; Juan José Campanella,Ricardo Darín; Soledad Villamil; Pablo Rago,8.2,"154,335"
The Gold Rush,1h 35min,Adventure; Comedy; Drama,Charles Chaplin,Charles Chaplin,Charles Chaplin; Mack Swain; Tom Murray,8.2,"78,277"
Hauru no ugoku shiro,1h 59min,Animation; Adventure; Family,Hayao Miyazaki,Hayao Miyazaki; Diana Wynne Jones,Chieko Baishô; Takuya Kimura; Tatsuya Gashûin,8.2,"250,765"
The Bridge on the River Kwai,2h 41min,Adventure; Drama; War,David Lean,Pierre Boulle; Carl Foreman,William Holden; Alec Guinness; Jack Hawkins,8.2,"168,395"
On the Waterfront,1h 48min,Crime; Drama; Thriller,Elia Kazan,Budd Schulberg; Budd Schulberg,Marlon Brando; Karl Malden; Lee J. Cobb,8.2,"114,617"
Inside Out,1h 35min,Animation; Adventure; Comedy,Pete Docter; Ronnie Del Carmen,Pete Docter; Ronnie Del Carmen,Amy Poehler; Bill Hader; Lewis Black,8.2,"461,447"
Blade Runner 2049,2h 44min,Drama; Mystery; Sci-Fi,Denis Villeneuve,Hampton Fancher; Michael Green,Harrison Ford; Ryan Gosling; Ana de Armas,8.2,"234,798"
Det sjunde inseglet,1h 36min,Drama; Fantasy,Ingmar Bergman,Ingmar Bergman; Ingmar Bergman,Max von Sydow; Gunnar Björnstrand; Bengt Ekerot,8.2,"127,249"
"Lock, Stock and Two Smoking Barrels",1h 47min,Comedy; Crime,Guy Ritchie,Guy Ritchie,Jason Flemyng; Dexter Fletcher; Nick Moran,8.2,"459,858"
Room,1h 58min,Drama,Lenny Abrahamson,Emma Donoghue; Emma Donoghue,Brie Larson; Jacob Tremblay; Sean Bridgers,8.2,"259,348"
A Beautiful Mind,2h 15min,Biography; Drama,Ron Howard,Akiva Goldsman; Sylvia Nasar,Russell Crowe; Ed Harris; Jennifer Connelly,8.2,"701,884"
Mr. Smith Goes to Washington,2h 9min,Comedy; Drama,Frank Capra,Sidney Buchman; Lewis R. Foster,James Stewart; Jean Arthur; Claude Rains,8.2,"86,875"
Casino,2h 58min,Crime; Drama,Martin Scorsese,Nicholas Pileggi; Nicholas Pileggi,Robert De Niro; Sharon Stone; Joe Pesci,8.2,"377,029"
The Elephant Man,2h 4min,Biography; Drama,David Lynch,Christopher De Vore; Eric Bergren,Anthony Hopkins; John Hurt; Anne Bancroft,8.2,"182,740"
Blade Runner,1h 57min,Sci-Fi; Thriller,Ridley Scott,Hampton Fancher; David Webb Peoples,Harrison Ford; Rutger Hauer; Sean Young,8.2,"564,636"
The Wolf of Wall Street,3h,Biography; Comedy; Crime,Martin Scorsese,Terence Winter; Jordan Belfort,Leonardo DiCaprio; Jonah Hill; Margot Robbie,8.2,"925,287"
V for Vendetta,2h 12min,Action; Drama; Sci-Fi,James McTeigue,Lilly Wachowski; Lana Wachowski,Hugo Weaving; Natalie Portman; Rupert Graves,8.2,"886,714"
Smultronstället,1h 31min,Drama; Romance,Ingmar Bergman,Ingmar Bergman,Victor Sjöström; Bibi Andersson; Ingrid Thulin,8.2,"72,432"
The General,1h 7min,Action; Adventure; Comedy,Clyde Bruckman; Buster Keaton,Buster Keaton; Clyde Bruckman,Buster Keaton; Marion Mack; Glen Cavender,8.2,"61,602"
Warrior,2h 20min,Drama; Sport,Gavin O'Connor,Gavin O'Connor; Anthony Tambakis,Tom Hardy; Nick Nolte; Joel Edgerton,8.2,"373,481"
Dial M for Murder,1h 45min,Crime; Film-Noir; Thriller,Alfred Hitchcock,Frederick Knott; Frederick Knott,Ray Milland; Grace Kelly; Robert Cummings,8.2,"123,976"
Trainspotting,1h 34min,Drama,Danny Boyle,Irvine Welsh; John Hodge,Ewan McGregor; Ewen Bremner; Jonny Lee Miller,8.2,"544,453"
Gone with the Wind,3h 58min,Drama; History; Romance,Victor Fleming; George Cukor,Margaret Mitchell; Sidney Howard,Clark Gable; Vivien Leigh; Thomas Mitchell,8.2,"241,374"
Gran Torino,1h 56min,Drama,Clint Eastwood,Nick Schenk; Dave Johannson,Clint Eastwood; Bee Vang; Christopher Carley,8.2,"623,488"
The Sixth Sense,1h 47min,Drama; Mystery; Thriller,M. Night Shyamalan,M. Night Shyamalan,Bruce Willis; Haley Joel Osment; Toni Collette,8.1,"783,462"
The Deer Hunter,3h 3min,Drama; War,Michael Cimino,Michael Cimino; Deric Washburn,Robert De Niro; Christopher Walken; John Cazale,8.2,"260,563"
Fargo,1h 38min,Crime; Drama; Thriller,Joel Coen; Ethan Coen,Ethan Coen; Joel Coen,William H. Macy; Frances McDormand; Steve Buscemi,8.1,"514,122"
No Country for Old Men,2h 2min,Crime; Drama; Thriller,Ethan Coen; Joel Coen,Joel Coen; Ethan Coen,Tommy Lee Jones; Javier Bardem; Josh Brolin,8.1,"698,098"
The Thing,1h 49min,Horror; Mystery; Sci-Fi,John Carpenter,Bill Lancaster; John W. Campbell Jr.,Kurt Russell; Wilford Brimley; Keith David,8.2,"297,697"
Sunrise: A Song of Two Humans,1h 34min,Drama; Romance,F.W. Murnau,Carl Mayer; Hermann Sudermann,George O'Brien; Janet Gaynor; Margaret Livingston,8.2,"35,217"
Finding Nemo,1h 40min,Animation; Adventure; Comedy,Andrew Stanton; Lee Unkrich,Andrew Stanton; Andrew Stanton,Albert Brooks; Ellen DeGeneres; Alexander Gould,8.1,"791,853"
There Will Be Blood,2h 38min,Drama,Paul Thomas Anderson,Paul Thomas Anderson; Upton Sinclair,Daniel Day-Lewis; Paul Dano; Ciarán Hinds,8.1,"423,875"
The Big Lebowski,1h 57min,Comedy; Crime,Joel Coen; Ethan Coen,Ethan Coen; Joel Coen,Jeff Bridges; John Goodman; Julianne Moore,8.2,"607,621"
Andrei Rublev,3h 25min,Biography; Drama; History,Andrei Tarkovsky,Andrey Konchalovskiy; Andrei Tarkovsky,Anatoliy Solonitsyn; Ivan Lapikov; Nikolay Grinko,8.3,"29,821"
Idi i smotri,2h 22min,Drama; War,Elem Klimov,Ales Adamovich; Ales Adamovich,Aleksey Kravchenko; Olga Mironova; Liubomiras Laucevicius,8.2,"33,852"
Tôkyô monogatari,2h 16min,Drama,Yasujirô Ozu,Kôgo Noda; Yasujirô Ozu,Chishû Ryû; Chieko Higashiyama; Sô Yamamura,8.2,"34,215"
Eskiya,2h 8min,Crime; Drama; Thriller,Yavuz Turgul,Yavuz Turgul,Sener Sen; Ugur Yücel; Sermin Hürmeriç,8.4,"45,833"
Cool Hand Luke,2h 6min,Crime; Drama,Stuart Rosenberg,Donn Pearce; Frank Pierson,Paul Newman; George Kennedy; Strother Martin,8.2,"133,718"
Rebecca,2h 10min,Drama; Mystery; Romance,Alfred Hitchcock,Daphne Du Maurier; Robert E. Sherwood,Laurence Olivier; Joan Fontaine; George Sanders,8.2,"98,988"
Kill Bill: Vol. 1,1h 51min,Action; Crime; Thriller,Quentin Tarantino,Quentin Tarantino; Quentin Tarantino,Uma Thurman; David Carradine; Daryl Hannah,8.1,"828,095"
Hacksaw Ridge,2h 19min,Biography; Drama; History,Mel Gibson,Robert Schenkkan; Andrew Knight,Andrew Garfield; Sam Worthington; Luke Bracey,8.2,"297,063"
Hoe tem je een draak,1h 38min,Animation; Adventure; Comedy,Dean DeBlois; Chris Sanders,William Davies; Dean DeBlois,Jay Baruchel; Gerard Butler; Christopher Mintz-Plasse,8.1,"552,541"
Shutter Island,2h 18min,Mystery; Thriller,Martin Scorsese,Laeta Kalogridis; Dennis Lehane,Leonardo DiCaprio; Emily Mortimer; Mark Ruffalo,8.1,"910,284"
Mary and Max,1h 32min,Animation; Comedy; Drama,Adam Elliot,Adam Elliot,Toni Collette; Philip Seymour Hoffman; Eric Bana,8.1,"136,465"
Call Me by Your Name,2h 12min,Drama; Romance,Luca Guadagnino,James Ivory; André Aciman,Armie Hammer; Timothée Chalamet; Michael Stuhlbarg,8.3,"46,496"
Gone Girl,2h 29min,Crime; Drama; Mystery,David Fincher,Gillian Flynn; Gillian Flynn,Ben Affleck; Rosamund Pike; Neil Patrick Harris,8.1,"683,523"
Rang De Basanti,2h 37min,Comedy; Drama,Rakeysh Omprakash Mehra,Renzil D'Silva; Prasoon Joshi,Aamir Khan; Soha Ali Khan; Siddharth,8.3,"87,290"
Into the Wild,2h 28min,Adventure; Biography; Drama,Sean Penn,Sean Penn; Jon Krakauer,Emile Hirsch; Vince Vaughn; Catherine Keener,8.1,"484,440"
La passion de Jeanne d'Arc,1h 50min,Biography; Drama; History,Carl Theodor Dreyer,Joseph Delteil; Carl Theodor Dreyer,Maria Falconetti; Eugene Silvain; André Berley,8.2,"31,938"
Life of Brian,1h 34min,Comedy,Terry Jones,Graham Chapman; John Cleese,Graham Chapman; John Cleese; Michael Palin,8.1,"303,280"
Het gebeurde op 'n avond,1h 45min,Comedy; Romance,Frank Capra,Robert Riskin; Samuel Hopkins Adams,Clark Gable; Claudette Colbert; Walter Connolly,8.1,"74,412"
Relatos salvajes,2h 2min,Comedy; Drama; Thriller,Damián Szifron,Germán Servidio; Damián Szifron,Darío Grandinetti; María Marull; Mónica Villa,8.1,"125,693"
Platoon,2h,Drama; War,Oliver Stone,Oliver Stone,Charlie Sheen; Tom Berenger; Willem Dafoe,8.1,"324,565"
In the Name of the Father,2h 13min,Biography; Drama,Jim Sheridan,Gerry Conlon; Terry George,Daniel Day-Lewis; Pete Postlethwaite; Alison Crosbie,8.1,"126,874"
Hotel Rwanda,2h 1min,Biography; Drama; History,Terry George,Keir Pearson; Terry George,Don Cheadle; Sophie Okonedo; Joaquin Phoenix,8.1,"292,245"
Le salaire de la peur,2h 11min,Adventure; Drama; Thriller,Henri-Georges Clouzot,Georges Arnaud; Henri-Georges Clouzot,Yves Montand; Charles Vanel; Peter van Eyck,8.2,"40,929"
Network,2h 1min,Drama,Sidney Lumet,Paddy Chayefsky,Faye Dunaway; William Holden; Peter Finch,8.1,"117,619"
Stand by Me,1h 29min,Adventure; Drama,Rob Reiner,Stephen King; Raynold Gideon,Wil Wheaton; River Phoenix; Corey Feldman,8.1,"306,986"
Rush,2h 3min,Action; Biography; Drama,Ron Howard,Peter Morgan,Daniel Brühl; Chris Hemsworth; Olivia Wilde,8.1,"359,910"
The Grand Budapest Hotel,1h 39min,Adventure; Comedy; Drama,Wes Anderson,Stefan Zweig; Wes Anderson,Ralph Fiennes; F. Murray Abraham; Mathieu Amalric,8.1,"569,702"
Ben Hur,3h 32min,Adventure; Drama; History,William Wyler,Lew Wallace; Karl Tunberg,Charlton Heston; Jack Hawkins; Stephen Boyd,8.1,"182,897"
Persona,1h 25min,Drama; Thriller,Ingmar Bergman,Ingmar Bergman,Bibi Andersson; Liv Ullmann; Margaretha Krook,8.1,"73,581"
Stalker,2h 42min,Drama; Sci-Fi,Andrei Tarkovsky,Arkadiy Strugatskiy; Boris Strugatskiy,Alisa Freyndlikh; Aleksandr Kaydanovskiy; Anatoliy Solonitsyn,8.1,"82,478"
Jurassic Park,2h 7min,Adventure; Sci-Fi; Thriller,Steven Spielberg,Michael Crichton; Michael Crichton,Sam Neill; Laura Dern; Jeff Goldblum,8.1,"704,883"
Logan,2h 17min,Action; Drama; Sci-Fi,James Mangold,James Mangold; Scott Frank,Hugh Jackman; Patrick Stewart; Dafne Keen,8.1,"446,747"
Salinui chueok,2h 11min,Action; Crime; Drama,Joon-ho Bong,Joon-ho Bong; Kwang-rim Kim,Kang-ho Song; Sang-kyung Kim; Roe-ha Kim,8.1,"84,057"
12 Years a Slave,2h 14min,Biography; Drama; History,Steve McQueen,John Ridley; Solomon Northup,Chiwetel Ejiofor; Michael Kenneth Williams; Michael Fassbender,8.1,"520,967"
Les quatre cents coups,1h 39min,Crime; Drama,François Truffaut,François Truffaut; Marcel Moussy,Jean-Pierre Léaud; Albert Rémy; Claire Maurier,8.1,"80,801"
La La Land,2h 8min,Comedy; Drama; Music,Damien Chazelle,Damien Chazelle,Ryan Gosling; Emma Stone; Rosemarie DeWitt,8.1,"347,298"
Million Dollar Baby,2h 12min,Drama; Sport,Clint Eastwood,Paul Haggis; F.X. Toole,Hilary Swank; Clint Eastwood; Morgan Freeman,8.1,"541,843"
Spotlight,2h 8min,Crime; Drama; History,Tom McCarthy,Josh Singer; Tom McCarthy,Mark Ruffalo; Michael Keaton; Rachel McAdams,8.1,"307,173"
Mad Max: Fury Road,2h,Action; Adventure; Sci-Fi,George Miller,George Miller; Brendan McCarthy,Tom Hardy; Charlize Theron; Nicholas Hoult,8.1,"689,479"
The Truman Show,1h 43min,Comedy; Drama; Sci-Fi,Peter Weir,Andrew Niccol,Jim Carrey; Ed Harris; Laura Linney,8.1,"762,020"
A Wednesday,1h 44min,Crime; Drama; Mystery,Neeraj Pandey,Neeraj Pandey; Neeraj Pandey,Anupam Kher; Naseeruddin Shah; Jimmy Shergill,8.3,"57,395"
Amores perros,2h 34min,Drama; Thriller,Alejandro G. Iñárritu,Guillermo Arriaga,Emilio Echevarría; Gael García Bernal; Goya Toledo,8.1,"191,845"
Butch Cassidy and the Sundance Kid,1h 50min,Biography; Crime; Drama,George Roy Hill,William Goldman,Paul Newman; Robert Redford; Katharine Ross,8.1,"170,495"
Before Sunrise,1h 41min,Drama; Romance,Richard Linklater,Richard Linklater; Kim Krizan,Ethan Hawke; Julie Delpy; Andrea Eckert,8.1,"213,594"
Hachi: A Dog's Tale,1h 33min,Drama; Family,Lasse Hallström,Stephen P. Lindsey; Kaneto Shindô,Richard Gere; Joan Allen; Cary-Hiroyuki Tagawa,8.1,"194,796"
Kaze no tani no Naushika,1h 57min,Animation; Adventure; Fantasy,Hayao Miyazaki,Hayao Miyazaki; Hayao Miyazaki,Sumi Shimamoto; Mahito Tsujimura; Hisako Kyôda,8.1,"112,762"
The Princess Bride,1h 38min,Adventure; Family; Fantasy,Rob Reiner,William Goldman; William Goldman,Cary Elwes; Mandy Patinkin; Robin Wright,8.1,"328,821"
Prisoners,2h 33min,Crime; Drama; Mystery,Denis Villeneuve,Aaron Guzikowski,Hugh Jackman; Jake Gyllenhaal; Viola Davis,8.1,"468,353"
The Maltese Falcon,1h 40min,Film-Noir; Mystery,John Huston,John Huston; Dashiell Hammett,Humphrey Bogart; Mary Astor; Gladys George,8.1,"127,109"
Le notti di Cabiria,1h 50min,Drama,Federico Fellini,Federico Fellini; Ennio Flaiano,Giulietta Masina; François Périer; Franca Marzi,8.2,"31,436"
Harry Potter and the Deathly Hallows: Part 2,2h 10min,Adventure; Drama; Fantasy,David Yates,Steve Kloves; J.K. Rowling,Daniel Radcliffe; Emma Watson; Rupert Grint,8.1,"627,121"
Catch Me If You Can,2h 21min,Biography; Crime; Drama,Steven Spielberg,Jeff Nathanson; Frank Abagnale Jr.,Leonardo DiCaprio; Tom Hanks; Christopher Walken,8.1,"635,171"
Rocky,2h,Drama; Sport,John G. Avildsen,Sylvester Stallone,Sylvester Stallone; Talia Shire; Burt Young,8.1,"429,801"
The Grapes of Wrath,2h 9min,Drama; History,John Ford,Nunnally Johnson; John Steinbeck,Henry Fonda; Jane Darwell; John Carradine,8.1,"71,417"
Paper Moon,1h 42min,Comedy; Crime; Drama,Peter Bogdanovich,Joe David Brown; Alvin Sargent,Ryan O'Neal; Tatum O'Neal; Madeline Kahn,8.2,"28,873"
Demonen,1h 57min,Crime; Drama; Horror,Henri-Georges Clouzot,Pierre Boileau; Thomas Narcejac,Simone Signoret; Véra Clouzot; Paul Meurisse,8.1,"48,526"
"Monsters, Inc.",1h 32min,Animation; Adventure; Comedy,Pete Docter; David Silverman,Pete Docter; Jill Culton,Billy Crystal; John Goodman; Mary Gibbs,8.1,"669,846"
Barry Lyndon,3h 5min,Adventure; Drama; History,Stanley Kubrick,Stanley Kubrick; William Makepeace Thackeray,Ryan O'Neal; Marisa Berenson; Patrick Magee,8.1,"116,259"
Donnie Darko,1h 53min,Drama; Sci-Fi; Thriller,Richard Kelly,Richard Kelly,Jake Gyllenhaal; Jena Malone; Mary McDonnell,8.1,"650,397"
Gandhi,3h 11min,Biography; Drama; History,Richard Attenborough,John Briley,Ben Kingsley; John Gielgud; Candice Bergen,8.1,"191,559"
Touch of Evil,1h 35min,Crime; Drama; Film-Noir,Orson Welles,Orson Welles; Whit Masterson,Charlton Heston; Orson Welles; Janet Leigh,8.1,"81,569"
Dunkirk,1h 46min,Action; Drama; History,Christopher Nolan,Christopher Nolan,Fionn Whitehead; Barry Keoghan; Mark Rylance,8.1,"339,936"
The Terminator,1h 47min,Action; Sci-Fi,James Cameron,James Cameron; Gale Anne Hurd,Arnold Schwarzenegger; Linda Hamilton; Michael Biehn,8.0,"672,546"
Groundhog Day,1h 41min,Comedy; Fantasy; Romance,Harold Ramis,Danny Rubin; Harold Ramis,Bill Murray; Andie MacDowell; Chris Elliott,8.0,"497,827"
The Wizard of Oz,1h 42min,Adventure; Family; Fantasy,Victor Fleming; George Cukor,Noel Langley; Florence Ryerson,Judy Garland; Frank Morgan; Ray Bolger,8.1,"324,545"
La haine,1h 38min,Crime; Drama,Mathieu Kassovitz,Mathieu Kassovitz,Vincent Cassel; Hubert Koundé; Saïd Taghmaoui,8.1,"118,779"
Annie Hall,1h 33min,Comedy; Romance,Woody Allen,Woody Allen; Marshall Brickman,Woody Allen; Diane Keaton; Tony Roberts,8.1,"219,739"
The Bourne Ultimatum,1h 55min,Action; Mystery; Thriller,Paul Greengrass,Tony Gilroy; Scott Z. Burns,Matt Damon; Edgar Ramírez; Joan Allen,8.0,"548,107"
8½,2h 18min,Drama,Federico Fellini,Federico Fellini; Ennio Flaiano,Marcello Mastroianni; Anouk Aimée; Claudia Cardinale,8.1,"89,090"
Jaws,2h 4min,Adventure; Drama; Thriller,Steven Spielberg,Peter Benchley; Carl Gottlieb,Roy Scheider; Robert Shaw; Richard Dreyfuss,8.0,"466,997"
Dead Poets Society,2h 8min,Comedy; Drama,Peter Weir,Tom Schulman,Robin Williams; Robert Sean Leonard; Ethan Hawke,8.1,"317,965"
De beste jaren van ons leven,2h 50min,Drama; Romance; War,William Wyler,Robert E. Sherwood; MacKinlay Kantor,Myrna Loy; Dana Andrews; Fredric March,8.1,"45,756"
La leggenda del pianista sull'oceano,2h 45min,Drama; Music; Romance,Giuseppe Tornatore,Alessandro Baricco; Giuseppe Tornatore,Tim Roth; Pruitt Taylor Vince; Bill Nunn,8.1,"46,813"
Faa yeung nin wa,1h 38min,Drama; Romance,Kar-Wai Wong,Kar-Wai Wong,Tony Chiu-Wai Leung; Maggie Cheung; Ping Lam Siu,8.1,"90,514"
The Help,2h 26min,Drama,Tate Taylor,Tate Taylor; Kathryn Stockett,Emma Stone; Viola Davis; Octavia Spencer,8.1,"360,028"
Mou gaan dou,1h 41min,Crime; Drama; Mystery,Wai-Keung Lau; Alan Mak,Alan Mak; Felix Chong,Andy Lau; Tony Chiu-Wai Leung; Anthony Chau-Sang Wong,8.1,"102,747"
Twelve Monkeys,2h 9min,Mystery; Sci-Fi; Thriller,Terry Gilliam,Chris Marker; David Webb Peoples,Bruce Willis; Madeleine Stowe; Brad Pitt,8.0,"510,623"
"Paris, Texas",2h 25min,Drama,Wim Wenders,L.M. Kit Carson; Sam Shepard,Harry Dean Stanton; Nastassja Kinski; Dean Stockwell,8.1,"60,931"
Ah-ga-ssi,2h 24min,Crime; Drama; Mystery,Chan-wook Park,Sarah Waters; Seo-kyeong Jeong,Min-hee Kim; Jung-woo Ha; Jin-woong Jo,8.1,"53,824"
Belle en het Beest,1h 24min,Animation; Family; Fantasy,Gary Trousdale; Kirk Wise,Linda Woolverton; Brenda Chapman,Paige O'Hara; Robby Benson; Jesse Corti,8.0,"355,903"
Tenkû no shiro Rapyuta,2h 5min,Animation; Adventure; Family,Hayao Miyazaki,Hayao Miyazaki,Anna Paquin; James Van Der Beek; Cloris Leachman,8.1,"113,222"
Pirates of the Caribbean: The Curse of the Black Pearl,2h 23min,Action; Adventure; Fantasy,Gore Verbinski,Ted Elliott; Terry Rossio,Johnny Depp; Geoffrey Rush; Orlando Bloom,8.0,"902,455"
Dog Day Afternoon,2h 5min,Biography; Crime; Drama,Sidney Lumet,Frank Pierson; P.F. Kluge,Al Pacino; John Cazale; Penelope Allen,8.0,"203,657"
